GPC;AttributeName;AttributeID;Description;Options;Required
10005541;Tipo de conductor eléctrico;CA-10000278;Seleccione de la lista;Cordón|Unipolar|Libre de alógeno|Subterráneo|Alambre desnudo|THHN|Concéntrico|Protegido|Preensamblado|Aislado|NYA|Caleco|Flexible;true
10000546;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;true
10005764;Tipo cierre;A1978671;Selecciona de la lista ;Presión|Normal|Cerradura|Rosca|Cremallera|Tapa cierre suave|Cierre Suave|Hebilla|Sin cierre|Candado|Cierre hermético|Botón|Cierre plástico|Imán|Tapa normal|Clip|Cierre metálico;false
10000548;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005573;Tipo de conector;CA-10000279;Seleccione de la lista;Hembra|Macho;true
10000551;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;true
10000551;Tipo de divisor;CA-10000281;Seleccione de la lista;Otro|Interruptor conmutador|Sensor de movimiento|Toma telefónica RJ45|Tomacorriente triple|Tomacorriente mixto|Pulsador|Dimmer universal|Interruptor simple|Dimmer|Interruptor doble|Zumbador|Módulo para placa|Interruptor triple|Placa ciega|Tv - Video|Tomacorriente simple|Toma telefónica RJ11|Tomacorriente doble;true
10005567;Tipo de divisor;CA-10000281;Seleccione de la lista;Otro|Interruptor conmutador|Sensor de movimiento|Toma telefónica RJ45|Tomacorriente triple|Tomacorriente mixto|Pulsador|Dimmer universal|Interruptor simple|Dimmer|Interruptor doble|Zumbador|Módulo para placa|Interruptor triple|Placa ciega|Tv - Video|Tomacorriente simple|Toma telefónica RJ11|Tomacorriente doble;true
10005583;Tipo de placas/cajas;CA-10000291;Seleccione de la lista;Tapa ciega|Caja de distribución embutida|Placa embutida|Caja de distribución sobrepuesta;true
10005583;Tipo de divisor;CA-10000281;Seleccione de la lista;Otro|Interruptor conmutador|Sensor de movimiento|Toma telefónica RJ45|Tomacorriente triple|Tomacorriente mixto|Pulsador|Dimmer universal|Interruptor simple|Dimmer|Interruptor doble|Zumbador|Módulo para placa|Interruptor triple|Placa ciega|Tv - Video|Tomacorriente simple|Toma telefónica RJ11|Tomacorriente doble;true
10000549;Tipo de fusible;CA-10000283;Seleccione de la lista;Tipo D|Vidrio|Tipo cartucho cilíndrico|Para vehículo|Tipo NH|Tipo D0;true
10005568;Tipo de divisor;CA-10000281;Seleccione de la lista;Otro|Interruptor conmutador|Sensor de movimiento|Toma telefónica RJ45|Tomacorriente triple|Tomacorriente mixto|Pulsador|Dimmer universal|Interruptor simple|Dimmer|Interruptor doble|Zumbador|Módulo para placa|Interruptor triple|Placa ciega|Tv - Video|Tomacorriente simple|Toma telefónica RJ11|Tomacorriente doble;true
10005585;Cuenta con protección contra tensiones;CA-10000225;Indica si tu producto cuenta con protección contra tensiones;Si|No;false
10005586;Tipo de divisor;CA-10000281;Seleccione de la lista;Otro|Interruptor conmutador|Sensor de movimiento|Toma telefónica RJ45|Tomacorriente triple|Tomacorriente mixto|Pulsador|Dimmer universal|Interruptor simple|Dimmer|Interruptor doble|Zumbador|Módulo para placa|Interruptor triple|Placa ciega|Tv - Video|Tomacorriente simple|Toma telefónica RJ11|Tomacorriente doble;true
10005640;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
10005641;Dimmer;A2734566;Indica si tu producto dimmer;Si|No;false
10005641;Tipo de pantalla;A2689383;Seleccione de la lista;LCD|QLED|LED;false
10005641;Rosca;CL-A99900572;Seleccione de la lista;No|Otra|E14, E27|R75|Especial|G24Q-3|G53|R7S|G24Q-1|E14|GU9|1L|G24D-2|GU10|G23|T8|Led Integrado|R80|T4|G24Q-2|T3|T12|E26|E40|G10Q|Bipin|G5|E12|G9|GY6.35|GU5.3|3L|LED|G4|T2|T10|Inalámbrica|G13|PL|GX5.3|R63|G24|T5|G24D-3|Mr11|SOLAR|R95|G12|E27;true
10005641;Requiere armado;A1539275;Tu producto, requiere armado?;Si|No;false
10000552;Color de luz;CL-A99900146;Seleccione de la lista;Fría|Cálida|Cálida, día y fría|Multicolor|Cálida y Fría|Día|Otra|Sin Información;true
10000552;Rosca;CL-A99900572;Seleccione de la lista;No|Otra|E14, E27|R75|Especial|G24Q-3|G53|R7S|G24Q-1|E14|GU9|1L|G24D-2|GU10|G23|T8|Led Integrado|R80|T4|G24Q-2|T3|T12|E26|E40|G10Q|Bipin|G5|E12|G9|GY6.35|GU5.3|3L|LED|G4|T2|T10|Inalámbrica|G13|PL|GX5.3|R63|G24|T5|G24D-3|Mr11|SOLAR|R95|G12|E27;true
10000552;Tipo de luz;CA-10000017;Seleccione de la lista;LED|Fría|Neutra|Incandescente|Cálida;true
10005639;Rosca;CL-A99900572;Seleccione de la lista;No|Otra|E14, E27|R75|Especial|G24Q-3|G53|R7S|G24Q-1|E14|GU9|1L|G24D-2|GU10|G23|T8|Led Integrado|R80|T4|G24Q-2|T3|T12|E26|E40|G10Q|Bipin|G5|E12|G9|GY6.35|GU5.3|3L|LED|G4|T2|T10|Inalámbrica|G13|PL|GX5.3|R63|G24|T5|G24D-3|Mr11|SOLAR|R95|G12|E27;true
10005644;Tipo de luz;CA-10000017;Seleccione de la lista;LED|Fría|Neutra|Incandescente|Cálida;true
10005644;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;true
10005636;Tipo de base;A2921542;Seleccione de la lista;Base Funcional|Base Normal|Base Dividida;true
10005633;Tipo de clavija;CA-10000277;Seleccione de la lista;Soquete|Enchufe;true
10005643;Alimentación;CL-A99900017;Seleccione de la lista;Diesel|Gas natural|Leña|Gas|AC/DC|Gas licuado|Eléctrica|Batería|Carbón|Batería recargable|Alcohol|Pila|Batería de litio|Gasolina|Parafina|Pellet|Aceite|Energía solar;false
